Pose: [{'x': 5.544444561004639, 'y': 5.544444561004639, 'theta': 0.0, 'linear_velocity': 0.0, 'angular_velocity': 0.0}]
Pose: [{'x': 6.011960506439209, 'y': 5.462363243103027, 'theta': -0.3691245913505554, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 6.03045654296875, 'y': 5.454840183258057, 'theta': -0.38631105422973633, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 6.048820495605469, 'y': 5.447000026702881, 'theta': -0.40349748730659485, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 6.067047119140625, 'y': 5.438845634460449, 'theta': -0.42068395018577576, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 6.0851311683654785, 'y': 5.4303789138793945, 'theta': -0.4378703832626343, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 6.103066444396973, 'y': 5.421603202819824, 'theta': -0.4550568461418152, 'linear_velocity': 1.2479732036590576, 'angular_velocity': -1.074152946472168}]
Pose: [{'x': 6.122622013092041, 'y': 5.411059856414795, 'theta': -0.49447083473205566, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.141746997833252, 'y': 5.399754047393799, 'theta': -0.5338848233222961, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.160411357879639, 'y': 5.387703895568848, 'theta': -0.5732988715171814, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.178586483001709, 'y': 5.374927520751953, 'theta': -0.6127128601074219, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.196244239807129, 'y': 5.361444473266602, 'theta': -0.6521268486976624, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.213356971740723, 'y': 5.34727668762207, 'theta': -0.6915408372879028, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.229897975921631, 'y': 5.33244514465332, 'theta': -0.7309548258781433, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.2458415031433105, 'y': 5.316973686218262, 'theta': -0.7703688740730286, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.261163234710693, 'y': 5.3008856773376465, 'theta': -0.809782862663269, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.275839328765869, 'y': 5.284206867218018, 'theta': -0.8491968512535095, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.289846420288086, 'y': 5.26696252822876, 'theta': -0.88861083984375, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.303163528442383, 'y': 5.249179363250732, 'theta': -0.9280248880386353, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.315769672393799, 'y': 5.2308855056762695, 'theta': -0.9674388766288757, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.3276448249816895, 'y': 5.212109088897705, 'theta': -1.0068528652191162, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.338770866394043, 'y': 5.1928791999816895, 'theta': -1.0462669134140015, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.349130630493164, 'y': 5.173226356506348, 'theta': -1.0856808423995972, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.358707904815674, 'y': 5.153180122375488, 'theta': -1.1250948905944824, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.367487907409668, 'y': 5.132771968841553, 'theta': -1.1645089387893677, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.375457286834717, 'y': 5.112033843994141, 'theta': -1.2039228677749634, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.382602691650391, 'y': 5.090997695922852, 'theta': -1.2433369159698486, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.388914108276367, 'y': 5.069696426391602, 'theta': -1.2827508449554443, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.394381046295166, 'y': 5.048163414001465, 'theta': -1.3221648931503296, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.398995399475098, 'y': 5.026431083679199, 'theta': -1.3615789413452148, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.402749538421631, 'y': 5.0045342445373535, 'theta': -1.4009928703308105, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.405638217926025, 'y': 4.982506275177002, 'theta': -1.4404069185256958, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.407656669616699, 'y': 4.960381507873535, 'theta': -1.4798208475112915, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
Pose: [{'x': 6.408801555633545, 'y': 4.938194274902344, 'theta': -1.5192348957061768, 'linear_velocity': 1.3885338306427002, 'angular_velocity': -2.4633750915527344}]
